age_group,gender,registration_month,months_since_registration,retained_users,cohort_demographic_size
,Other,2023-11-01 00:00:00.000,10,1,5
,Other,2023-12-01 00:00:00.000,9,1,4
,Other,2023-12-01 00:00:00.000,10,1,4
,Other,2024-01-01 00:00:00.000,1,1,4
,Other,2024-02-01 00:00:00.000,0,1,3
,Other,2024-02-01 00:00:00.000,1,1,3
,Other,2024-02-01 00:00:00.000,3,1,3
,Other,2024-02-01 00:00:00.000,6,1,3
,Other,2024-02-01 00:00:00.000,8,1,3
,Other,2024-02-01 00:00:00.000,10,1,3
,Other,2024-03-01 00:00:00.000,2,1,4
,Other,2024-03-01 00:00:00.000,4,1,4
,Other,2024-03-01 00:00:00.000,6,1,4
,Other,2024-04-01 00:00:00.000,7,1,7
,Other,2024-04-01 00:00:00.000,8,1,7
,Other,2024-05-01 00:00:00.000,2,1,2
,Other,2024-06-01 00:00:00.000,2,1,3
,Other,2024-06-01 00:00:00.000,3,1,3
,Other,2024-06-01 00:00:00.000,4,1,3
,Other,2024-07-01 00:00:00.000,0,1,5
,Other,2024-07-01 00:00:00.000,1,1,5
,Other,2024-08-01 00:00:00.000,0,1,2
,Other,2024-09-01 00:00:00.000,0,1,3
,Other,2024-09-01 00:00:00.000,1,1,3
,Other,2024-10-01 00:00:00.000,0,1,7
,Other,2024-10-01 00:00:00.000,1,1,7
,Other,2024-11-01 00:00:00.000,0,1,4
,Other,2024-11-01 00:00:00.000,1,1,4
18-24,Other,2023-01-01 00:00:00.000,0,1,12
18-24,Other,2023-01-01 00:00:00.000,5,1,12
18-24,Other,2023-01-01 00:00:00.000,6,1,12
18-24,Other,2023-01-01 00:00:00.000,7,1,12
18-24,Other,2023-01-01 00:00:00.000,9,1,12
18-24,Other,2023-01-01 00:00:00.000,11,1,12
18-24,Other,2023-01-01 00:00:00.000,12,1,12
18-24,Other,2023-01-01 00:00:00.000,15,1,12
18-24,Other,2023-01-01 00:00:00.000,21,1,12
18-24,Other,2023-01-01 00:00:00.000,23,1,12
18-24,Other,2023-02-01 00:00:00.000,2,1,11
18-24,Other,2023-02-01 00:00:00.000,3,1,11
18-24,Other,2023-02-01 00:00:00.000,6,1,11
18-24,Other,2023-02-01 00:00:00.000,7,1,11
18-24,Other,2023-02-01 00:00:00.000,8,1,11
18-24,Other,2023-02-01 00:00:00.000,11,1,11
18-24,Other,2023-02-01 00:00:00.000,14,1,11
18-24,Other,2023-02-01 00:00:00.000,15,1,11
18-24,Other,2023-02-01 00:00:00.000,16,1,11
18-24,Other,2023-02-01 00:00:00.000,17,1,11
18-24,Other,2023-02-01 00:00:00.000,18,1,11
18-24,Other,2023-02-01 00:00:00.000,19,1,11
18-24,Other,2023-02-01 00:00:00.000,20,1,11
18-24,Other,2023-02-01 00:00:00.000,22,1,11
18-24,Other,2023-03-01 00:00:00.000,0,1,17
18-24,Other,2023-03-01 00:00:00.000,1,1,17
18-24,Other,2023-03-01 00:00:00.000,5,1,17
18-24,Other,2023-03-01 00:00:00.000,14,1,17
18-24,Other,2023-03-01 00:00:00.000,21,1,17
18-24,Other,2023-04-01 00:00:00.000,4,1,15
18-24,Other,2023-04-01 00:00:00.000,14,1,15
18-24,Other,2023-04-01 00:00:00.000,16,1,15
18-24,Other,2023-04-01 00:00:00.000,19,1,15
18-24,Other,2023-04-01 00:00:00.000,20,1,15
18-24,Other,2023-05-01 00:00:00.000,4,1,13
18-24,Other,2023-05-01 00:00:00.000,6,1,13
18-24,Other,2023-05-01 00:00:00.000,7,1,13
18-24,Other,2023-05-01 00:00:00.000,10,1,13
18-24,Other,2023-05-01 00:00:00.000,11,1,13
18-24,Other,2023-06-01 00:00:00.000,3,1,16
18-24,Other,2023-06-01 00:00:00.000,4,1,16
18-24,Other,2023-06-01 00:00:00.000,8,1,16
18-24,Other,2023-06-01 00:00:00.000,11,1,16
18-24,Other,2023-06-01 00:00:00.000,14,1,16
18-24,Other,2023-06-01 00:00:00.000,15,1,16
18-24,Other,2023-07-01 00:00:00.000,1,1,9
18-24,Other,2023-07-01 00:00:00.000,2,1,9
18-24,Other,2023-07-01 00:00:00.000,3,1,9
18-24,Other,2023-07-01 00:00:00.000,4,1,9
18-24,Other,2023-07-01 00:00:00.000,5,1,9
18-24,Other,2023-07-01 00:00:00.000,8,1,9
18-24,Other,2023-07-01 00:00:00.000,13,1,9
18-24,Other,2023-07-01 00:00:00.000,15,1,9
18-24,Other,2023-07-01 00:00:00.000,16,1,9
18-24,Other,2023-08-01 00:00:00.000,0,1,19
18-24,Other,2023-08-01 00:00:00.000,6,1,19
18-24,Other,2023-08-01 00:00:00.000,8,1,19
18-24,Other,2023-09-01 00:00:00.000,2,1,17
18-24,Other,2023-09-01 00:00:00.000,5,1,17
18-24,Other,2023-09-01 00:00:00.000,6,1,17
18-24,Other,2023-09-01 00:00:00.000,7,1,17
18-24,Other,2023-09-01 00:00:00.000,11,1,17
18-24,Other,2023-09-01 00:00:00.000,15,1,17
18-24,Other,2023-10-01 00:00:00.000,0,1,21
18-24,Other,2023-10-01 00:00:00.000,4,1,21
18-24,Other,2023-10-01 00:00:00.000,7,1,21
18-24,Other,2023-11-01 00:00:00.000,3,1,19
18-24,Other,2023-11-01 00:00:00.000,5,1,19
18-24,Other,2023-11-01 00:00:00.000,7,1,19
18-24,Other,2023-12-01 00:00:00.000,0,1,12
18-24,Other,2023-12-01 00:00:00.000,1,1,12
18-24,Other,2023-12-01 00:00:00.000,5,1,12
18-24,Other,2023-12-01 00:00:00.000,8,1,12
18-24,Other,2023-12-01 00:00:00.000,9,1,12
18-24,Other,2024-01-01 00:00:00.000,0,1,18
18-24,Other,2024-01-01 00:00:00.000,1,1,18
18-24,Other,2024-01-01 00:00:00.000,2,1,18
18-24,Other,2024-01-01 00:00:00.000,5,1,18
18-24,Other,2024-01-01 00:00:00.000,6,1,18
18-24,Other,2024-02-01 00:00:00.000,1,1,12
18-24,Other,2024-02-01 00:00:00.000,2,1,12
18-24,Other,2024-02-01 00:00:00.000,4,1,12
18-24,Other,2024-02-01 00:00:00.000,5,1,12
18-24,Other,2024-02-01 00:00:00.000,7,1,12
18-24,Other,2024-03-01 00:00:00.000,0,1,18
18-24,Other,2024-04-01 00:00:00.000,0,1,16
18-24,Other,2024-04-01 00:00:00.000,2,1,16
18-24,Other,2024-04-01 00:00:00.000,7,1,16
18-24,Other,2024-05-01 00:00:00.000,3,1,8
18-24,Other,2024-05-01 00:00:00.000,4,1,8
18-24,Other,2024-05-01 00:00:00.000,5,1,8
18-24,Other,2024-05-01 00:00:00.000,6,1,8
18-24,Other,2024-05-01 00:00:00.000,7,1,8
18-24,Other,2024-06-01 00:00:00.000,1,1,19
18-24,Other,2024-06-01 00:00:00.000,3,1,19
18-24,Other,2024-06-01 00:00:00.000,5,1,19
18-24,Other,2024-07-01 00:00:00.000,0,1,14
18-24,Other,2024-07-01 00:00:00.000,2,1,14
18-24,Other,2024-07-01 00:00:00.000,3,1,14
18-24,Other,2024-08-01 00:00:00.000,3,1,17
18-24,Other,2024-09-01 00:00:00.000,0,1,16
18-24,Other,2024-09-01 00:00:00.000,2,1,16
18-24,Other,2024-10-01 00:00:00.000,0,1,21
18-24,Other,2024-10-01 00:00:00.000,1,1,21
18-24,Other,2024-11-01 00:00:00.000,1,1,19
18-24,Other,2024-12-01 00:00:00.000,0,1,21
25-34,Other,2023-01-01 00:00:00.000,0,1,15
25-34,Other,2023-01-01 00:00:00.000,5,1,15
25-34,Other,2023-01-01 00:00:00.000,7,1,15
25-34,Other,2023-01-01 00:00:00.000,9,1,15
25-34,Other,2023-01-01 00:00:00.000,10,1,15
25-34,Other,2023-01-01 00:00:00.000,14,1,15
25-34,Other,2023-01-01 00:00:00.000,17,1,15
25-34,Other,2023-01-01 00:00:00.000,19,1,15
25-34,Other,2023-01-01 00:00:00.000,20,1,15
25-34,Other,2023-01-01 00:00:00.000,23,1,15
25-34,Other,2023-02-01 00:00:00.000,2,1,23
25-34,Other,2023-02-01 00:00:00.000,4,1,23
25-34,Other,2023-02-01 00:00:00.000,6,1,23
25-34,Other,2023-02-01 00:00:00.000,17,1,23
25-34,Other,2023-02-01 00:00:00.000,18,1,23
25-34,Other,2023-02-01 00:00:00.000,20,1,23
25-34,Other,2023-03-01 00:00:00.000,3,1,22
25-34,Other,2023-03-01 00:00:00.000,12,1,22
25-34,Other,2023-04-01 00:00:00.000,7,1,14
25-34,Other,2023-04-01 00:00:00.000,10,1,14
25-34,Other,2023-04-01 00:00:00.000,11,1,14
25-34,Other,2023-04-01 00:00:00.000,12,1,14
25-34,Other,2023-04-01 00:00:00.000,14,1,14
25-34,Other,2023-04-01 00:00:00.000,15,1,14
25-34,Other,2023-04-01 00:00:00.000,16,1,14
25-34,Other,2023-04-01 00:00:00.000,20,1,14
25-34,Other,2023-05-01 00:00:00.000,0,1,30
25-34,Other,2023-05-01 00:00:00.000,16,1,30
25-34,Other,2023-06-01 00:00:00.000,3,1,23
25-34,Other,2023-06-01 00:00:00.000,5,1,23
25-34,Other,2023-06-01 00:00:00.000,10,1,23
25-34,Other,2023-06-01 00:00:00.000,18,1,23
25-34,Other,2023-07-01 00:00:00.000,2,1,16
25-34,Other,2023-07-01 00:00:00.000,3,1,16
25-34,Other,2023-07-01 00:00:00.000,15,1,16
25-34,Other,2023-08-01 00:00:00.000,2,1,23
25-34,Other,2023-08-01 00:00:00.000,4,1,23
25-34,Other,2023-08-01 00:00:00.000,6,1,23
25-34,Other,2023-09-01 00:00:00.000,0,1,20
25-34,Other,2023-09-01 00:00:00.000,1,1,20
25-34,Other,2023-09-01 00:00:00.000,3,1,20
25-34,Other,2023-09-01 00:00:00.000,9,1,20
25-34,Other,2023-09-01 00:00:00.000,11,1,20
25-34,Other,2023-11-01 00:00:00.000,0,1,23
25-34,Other,2023-11-01 00:00:00.000,2,1,23
25-34,Other,2023-11-01 00:00:00.000,3,1,23
25-34,Other,2023-11-01 00:00:00.000,5,1,23
25-34,Other,2023-11-01 00:00:00.000,8,1,23
25-34,Other,2023-12-01 00:00:00.000,0,1,21
25-34,Other,2023-12-01 00:00:00.000,4,1,21
25-34,Other,2023-12-01 00:00:00.000,8,1,21
25-34,Other,2023-12-01 00:00:00.000,11,1,21
25-34,Other,2024-01-01 00:00:00.000,1,1,21
25-34,Other,2024-01-01 00:00:00.000,7,1,21
25-34,Other,2024-01-01 00:00:00.000,10,1,21
25-34,Other,2024-02-01 00:00:00.000,0,1,20
25-34,Other,2024-02-01 00:00:00.000,2,1,20
25-34,Other,2024-03-01 00:00:00.000,0,1,16
25-34,Other,2024-03-01 00:00:00.000,2,1,16
25-34,Other,2024-03-01 00:00:00.000,3,1,16
25-34,Other,2024-03-01 00:00:00.000,9,1,16
25-34,Other,2024-04-01 00:00:00.000,1,1,17
25-34,Other,2024-04-01 00:00:00.000,3,1,17
25-34,Other,2024-04-01 00:00:00.000,7,1,17
25-34,Other,2024-05-01 00:00:00.000,1,1,16
25-34,Other,2024-05-01 00:00:00.000,6,1,16
25-34,Other,2024-06-01 00:00:00.000,0,1,12
25-34,Other,2024-06-01 00:00:00.000,3,1,12
25-34,Other,2024-06-01 00:00:00.000,4,1,12
25-34,Other,2024-08-01 00:00:00.000,3,1,23
25-34,Other,2024-09-01 00:00:00.000,1,1,16
25-34,Other,2024-09-01 00:00:00.000,3,1,16
25-34,Other,2024-11-01 00:00:00.000,1,1,17
35-44,Other,2023-01-01 00:00:00.000,2,1,21
35-44,Other,2023-01-01 00:00:00.000,7,1,21
35-44,Other,2023-01-01 00:00:00.000,10,1,21
35-44,Other,2023-01-01 00:00:00.000,11,1,21
35-44,Other,2023-01-01 00:00:00.000,14,1,21
35-44,Other,2023-01-01 00:00:00.000,21,1,21
35-44,Other,2023-01-01 00:00:00.000,22,1,21
35-44,Other,2023-02-01 00:00:00.000,4,1,19
35-44,Other,2023-02-01 00:00:00.000,6,1,19
35-44,Other,2023-02-01 00:00:00.000,7,1,19
35-44,Other,2023-02-01 00:00:00.000,13,1,19
35-44,Other,2023-02-01 00:00:00.000,18,1,19
35-44,Other,2023-02-01 00:00:00.000,21,1,19
35-44,Other,2023-02-01 00:00:00.000,22,1,19
35-44,Other,2023-03-01 00:00:00.000,1,1,19
35-44,Other,2023-03-01 00:00:00.000,6,1,19
35-44,Other,2023-03-01 00:00:00.000,15,1,19
35-44,Other,2023-03-01 00:00:00.000,18,1,19
35-44,Other,2023-04-01 00:00:00.000,0,1,20
35-44,Other,2023-04-01 00:00:00.000,2,1,20
35-44,Other,2023-04-01 00:00:00.000,3,1,20
35-44,Other,2023-04-01 00:00:00.000,10,1,20
35-44,Other,2023-04-01 00:00:00.000,12,1,20
35-44,Other,2023-04-01 00:00:00.000,17,1,20
35-44,Other,2023-04-01 00:00:00.000,18,1,20
35-44,Other,2023-05-01 00:00:00.000,1,1,18
35-44,Other,2023-05-01 00:00:00.000,4,1,18
35-44,Other,2023-05-01 00:00:00.000,5,1,18
35-44,Other,2023-05-01 00:00:00.000,10,1,18
35-44,Other,2023-05-01 00:00:00.000,12,1,18
35-44,Other,2023-05-01 00:00:00.000,13,1,18
35-44,Other,2023-05-01 00:00:00.000,15,1,18
35-44,Other,2023-05-01 00:00:00.000,19,1,18
35-44,Other,2023-06-01 00:00:00.000,7,1,26
35-44,Other,2023-06-01 00:00:00.000,17,1,26
35-44,Other,2023-07-01 00:00:00.000,0,1,20
35-44,Other,2023-07-01 00:00:00.000,9,1,20
35-44,Other,2023-07-01 00:00:00.000,13,1,20
35-44,Other,2023-07-01 00:00:00.000,15,1,20
35-44,Other,2023-07-01 00:00:00.000,17,1,20
35-44,Other,2023-08-01 00:00:00.000,4,1,14
35-44,Other,2023-08-01 00:00:00.000,6,1,14
35-44,Other,2023-08-01 00:00:00.000,7,1,14
35-44,Other,2023-08-01 00:00:00.000,9,1,14
35-44,Other,2023-08-01 00:00:00.000,11,1,14
35-44,Other,2023-08-01 00:00:00.000,13,1,14
35-44,Other,2023-08-01 00:00:00.000,15,1,14
35-44,Other,2023-08-01 00:00:00.000,16,1,14
35-44,Other,2023-09-01 00:00:00.000,2,1,15
35-44,Other,2023-09-01 00:00:00.000,3,1,15
35-44,Other,2023-09-01 00:00:00.000,4,1,15
35-44,Other,2023-09-01 00:00:00.000,7,1,15
35-44,Other,2023-09-01 00:00:00.000,10,1,15
35-44,Other,2023-09-01 00:00:00.000,14,1,15
35-44,Other,2023-10-01 00:00:00.000,4,1,13
35-44,Other,2023-10-01 00:00:00.000,7,1,13
35-44,Other,2023-10-01 00:00:00.000,8,1,13
35-44,Other,2023-10-01 00:00:00.000,11,1,13
35-44,Other,2023-11-01 00:00:00.000,4,1,12
35-44,Other,2023-11-01 00:00:00.000,5,1,12
35-44,Other,2023-12-01 00:00:00.000,5,1,16
35-44,Other,2023-12-01 00:00:00.000,6,1,16
35-44,Other,2023-12-01 00:00:00.000,11,1,16
35-44,Other,2024-02-01 00:00:00.000,3,1,16
35-44,Other,2024-02-01 00:00:00.000,4,1,16
35-44,Other,2024-02-01 00:00:00.000,5,1,16
35-44,Other,2024-02-01 00:00:00.000,6,1,16
35-44,Other,2024-03-01 00:00:00.000,0,1,19
35-44,Other,2024-03-01 00:00:00.000,1,1,19
35-44,Other,2024-04-01 00:00:00.000,2,1,12
35-44,Other,2024-05-01 00:00:00.000,1,1,18
35-44,Other,2024-05-01 00:00:00.000,2,1,18
35-44,Other,2024-05-01 00:00:00.000,5,1,18
35-44,Other,2024-05-01 00:00:00.000,7,1,18
35-44,Other,2024-06-01 00:00:00.000,3,1,21
35-44,Other,2024-09-01 00:00:00.000,0,1,17
45+,Other,2023-01-01 00:00:00.000,5,1,13
45+,Other,2023-01-01 00:00:00.000,10,1,13
45+,Other,2023-01-01 00:00:00.000,13,1,13
45+,Other,2023-01-01 00:00:00.000,16,1,13
45+,Other,2023-01-01 00:00:00.000,18,1,13
45+,Other,2023-01-01 00:00:00.000,19,1,13
45+,Other,2023-01-01 00:00:00.000,20,1,13
45+,Other,2023-01-01 00:00:00.000,21,1,13
45+,Other,2023-01-01 00:00:00.000,22,1,13
45+,Other,2023-02-01 00:00:00.000,1,1,6
45+,Other,2023-02-01 00:00:00.000,3,1,6
45+,Other,2023-02-01 00:00:00.000,6,1,6
45+,Other,2023-02-01 00:00:00.000,8,1,6
45+,Other,2023-02-01 00:00:00.000,10,1,6
45+,Other,2023-02-01 00:00:00.000,11,1,6
45+,Other,2023-02-01 00:00:00.000,12,1,6
45+,Other,2023-02-01 00:00:00.000,13,1,6
45+,Other,2023-03-01 00:00:00.000,0,1,7
45+,Other,2023-03-01 00:00:00.000,2,1,7
45+,Other,2023-03-01 00:00:00.000,4,1,7
45+,Other,2023-03-01 00:00:00.000,9,1,7
45+,Other,2023-03-01 00:00:00.000,12,1,7
45+,Other,2023-03-01 00:00:00.000,17,1,7
45+,Other,2023-03-01 00:00:00.000,18,1,7
45+,Other,2023-03-01 00:00:00.000,20,1,7
45+,Other,2023-04-01 00:00:00.000,0,1,20
45+,Other,2023-04-01 00:00:00.000,3,1,20
45+,Other,2023-04-01 00:00:00.000,5,1,20
45+,Other,2023-04-01 00:00:00.000,9,1,20
45+,Other,2023-04-01 00:00:00.000,18,1,20
45+,Other,2023-05-01 00:00:00.000,1,1,8
45+,Other,2023-05-01 00:00:00.000,4,1,8
45+,Other,2023-05-01 00:00:00.000,6,1,8
45+,Other,2023-05-01 00:00:00.000,7,1,8
45+,Other,2023-05-01 00:00:00.000,16,1,8
45+,Other,2023-05-01 00:00:00.000,17,1,8
45+,Other,2023-05-01 00:00:00.000,18,1,8
45+,Other,2023-06-01 00:00:00.000,0,1,12
45+,Other,2023-06-01 00:00:00.000,7,1,12
45+,Other,2023-06-01 00:00:00.000,8,1,12
45+,Other,2023-06-01 00:00:00.000,9,1,12
45+,Other,2023-06-01 00:00:00.000,10,1,12
45+,Other,2023-06-01 00:00:00.000,11,1,12
45+,Other,2023-06-01 00:00:00.000,12,1,12
45+,Other,2023-06-01 00:00:00.000,16,1,12
45+,Other,2023-06-01 00:00:00.000,17,1,12
45+,Other,2023-07-01 00:00:00.000,0,1,12
45+,Other,2023-07-01 00:00:00.000,2,1,12
45+,Other,2023-07-01 00:00:00.000,4,1,12
45+,Other,2023-07-01 00:00:00.000,10,1,12
45+,Other,2023-07-01 00:00:00.000,12,1,12
45+,Other,2023-07-01 00:00:00.000,13,1,12
45+,Other,2023-07-01 00:00:00.000,15,1,12
45+,Other,2023-08-01 00:00:00.000,1,1,22
45+,Other,2023-08-01 00:00:00.000,7,1,22
45+,Other,2023-08-01 00:00:00.000,9,1,22
45+,Other,2023-09-01 00:00:00.000,0,1,17
45+,Other,2023-09-01 00:00:00.000,1,1,17
45+,Other,2023-09-01 00:00:00.000,3,1,17
45+,Other,2023-09-01 00:00:00.000,5,1,17
45+,Other,2023-09-01 00:00:00.000,9,1,17
45+,Other,2023-09-01 00:00:00.000,13,1,17
45+,Other,2023-09-01 00:00:00.000,15,1,17
45+,Other,2023-10-01 00:00:00.000,5,1,19
45+,Other,2023-10-01 00:00:00.000,13,1,19
45+,Other,2023-11-01 00:00:00.000,7,1,12
45+,Other,2023-11-01 00:00:00.000,9,1,12
45+,Other,2023-11-01 00:00:00.000,10,1,12
45+,Other,2023-11-01 00:00:00.000,13,1,12
45+,Other,2023-12-01 00:00:00.000,1,1,14
45+,Other,2023-12-01 00:00:00.000,6,1,14
45+,Other,2023-12-01 00:00:00.000,7,1,14
45+,Other,2023-12-01 00:00:00.000,12,1,14
45+,Other,2024-01-01 00:00:00.000,3,1,16
45+,Other,2024-01-01 00:00:00.000,4,1,16
45+,Other,2024-01-01 00:00:00.000,6,1,16
45+,Other,2024-01-01 00:00:00.000,7,1,16
45+,Other,2024-01-01 00:00:00.000,8,1,16
45+,Other,2024-01-01 00:00:00.000,10,1,16
45+,Other,2024-02-01 00:00:00.000,10,1,13
45+,Other,2024-03-01 00:00:00.000,0,1,17
45+,Other,2024-03-01 00:00:00.000,1,1,17
45+,Other,2024-03-01 00:00:00.000,2,1,17
45+,Other,2024-03-01 00:00:00.000,5,1,17
45+,Other,2024-04-01 00:00:00.000,2,1,14
45+,Other,2024-04-01 00:00:00.000,8,1,14
45+,Other,2024-05-01 00:00:00.000,3,1,14
45+,Other,2024-05-01 00:00:00.000,4,1,14
45+,Other,2024-06-01 00:00:00.000,0,1,10
45+,Other,2024-07-01 00:00:00.000,2,1,6
45+,Other,2024-07-01 00:00:00.000,3,1,6
45+,Other,2024-07-01 00:00:00.000,5,1,6
45+,Other,2024-08-01 00:00:00.000,2,1,10
45+,Other,2024-08-01 00:00:00.000,4,1,10
45+,Other,2024-09-01 00:00:00.000,1,1,10
45+,Other,2024-09-01 00:00:00.000,2,1,10
45+,Other,2024-10-01 00:00:00.000,1,1,7
45+,Other,2024-11-01 00:00:00.000,0,1,11
45+,Other,2024-11-01 00:00:00.000,1,1,11
,,2023-01-01 00:00:00.000,0,1,1
,,2023-02-01 00:00:00.000,3,1,7
,,2023-02-01 00:00:00.000,5,1,7
,,2023-02-01 00:00:00.000,6,1,7
,,2023-02-01 00:00:00.000,8,1,7
,,2023-02-01 00:00:00.000,11,1,7
,,2023-02-01 00:00:00.000,12,1,7
,,2023-02-01 00:00:00.000,13,1,7
,,2023-02-01 00:00:00.000,16,1,7
,,2023-02-01 00:00:00.000,18,1,7
,,2023-02-01 00:00:00.000,19,1,7
,,2023-02-01 00:00:00.000,20,1,7
,,2023-02-01 00:00:00.000,22,1,7
,,2023-03-01 00:00:00.000,1,1,5
,,2023-03-01 00:00:00.000,2,1,5
,,2023-03-01 00:00:00.000,6,1,5
,,2023-03-01 00:00:00.000,9,1,5
,,2023-03-01 00:00:00.000,13,1,5
,,2023-03-01 00:00:00.000,14,1,5
,,2023-03-01 00:00:00.000,16,1,5
,,2023-03-01 00:00:00.000,19,1,5
,,2023-03-01 00:00:00.000,20,1,5
,,2023-03-01 00:00:00.000,21,1,5
,,2023-04-01 00:00:00.000,0,1,9
,,2023-04-01 00:00:00.000,1,1,9
,,2023-04-01 00:00:00.000,2,1,9
,,2023-04-01 00:00:00.000,5,1,9
,,2023-04-01 00:00:00.000,7,1,9
,,2023-04-01 00:00:00.000,9,1,9
,,2023-04-01 00:00:00.000,10,1,9
,,2023-04-01 00:00:00.000,17,1,9
,,2023-05-01 00:00:00.000,3,1,5
,,2023-05-01 00:00:00.000,6,1,5
,,2023-05-01 00:00:00.000,7,1,5
,,2023-05-01 00:00:00.000,8,1,5
,,2023-05-01 00:00:00.000,10,1,5
,,2023-05-01 00:00:00.000,11,1,5
,,2023-05-01 00:00:00.000,13,1,5
,,2023-05-01 00:00:00.000,14,1,5
,,2023-05-01 00:00:00.000,18,1,5
,,2023-06-01 00:00:00.000,3,1,6
,,2023-06-01 00:00:00.000,4,1,6
,,2023-06-01 00:00:00.000,6,1,6
,,2023-06-01 00:00:00.000,8,1,6
,,2023-06-01 00:00:00.000,11,1,6
,,2023-06-01 00:00:00.000,12,1,6
,,2023-06-01 00:00:00.000,14,1,6
,,2023-07-01 00:00:00.000,1,1,3
,,2023-07-01 00:00:00.000,9,1,3
,,2023-07-01 00:00:00.000,12,1,3
,,2023-08-01 00:00:00.000,2,1,11
,,2023-08-01 00:00:00.000,14,1,11
,,2023-08-01 00:00:00.000,16,1,11
,,2023-09-01 00:00:00.000,6,1,1
,,2023-09-01 00:00:00.000,13,1,1
,,2023-10-01 00:00:00.000,0,1,6
,,2023-10-01 00:00:00.000,1,1,6
,,2023-10-01 00:00:00.000,2,1,6
,,2023-10-01 00:00:00.000,4,1,6
,,2023-10-01 00:00:00.000,5,1,6
,,2023-10-01 00:00:00.000,6,1,6
,,2023-11-01 00:00:00.000,6,1,4
,,2023-11-01 00:00:00.000,9,1,4
,,2023-11-01 00:00:00.000,10,1,4
,,2023-12-01 00:00:00.000,5,1,9
,,2023-12-01 00:00:00.000,7,1,9
,,2023-12-01 00:00:00.000,8,1,9
,,2023-12-01 00:00:00.000,11,1,9
,,2023-12-01 00:00:00.000,12,1,9
,,2024-01-01 00:00:00.000,0,1,6
,,2024-01-01 00:00:00.000,4,1,6
,,2024-01-01 00:00:00.000,5,1,6
,,2024-01-01 00:00:00.000,8,1,6
,,2024-01-01 00:00:00.000,9,1,6
,,2024-01-01 00:00:00.000,11,1,6
,,2024-02-01 00:00:00.000,0,1,6
